
"Title","Access Group Report"

"Report generated by","sysdba, Fri Apr 03 14:26:32 CAT 2026"
"Record count","14"
"Maximum records to export","10000"

"Access Group Name","Access Pattern Name","Area Name","Start Time","Duration","Mon","Tue","Wed","Thu","Fri","Sat","Sun","Hol","Max Capacity"
"All Access Group","Default Access Time Pattern","All Access Area","00:00","24:00","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",""
"Default Visitor Group","Default Access Time Pattern","Default Visitor Area","00:00","24:00","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",""
"Lift 1 All Floors","Default Access Time Pattern","Lift 1","00:00","24:00","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",""
"Lift 1 Level 1 ","Default Access Time Pattern","Lift 1","00:00","24:00","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",""
"Lift 1 Level 2","Default Access Time Pattern","Lift 1","00:00","24:00","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",""
"Lift 1 Level 3","Default Access Time Pattern","Lift 1","00:00","24:00","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",""
"Lift 1 Level 4","Default Access Time Pattern","Lift 1","00:00","24:00","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",""
"Lift 1 Level 5","Default Access Time Pattern","Lift 1","00:00","24:00","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",""
"Lift 2 All Floors","Default Access Time Pattern","Lift 2","00:00","24:00","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",""
"Lift 2 Level 1 ","Default Access Time Pattern","Lift 2","00:00","24:00","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",""
"Lift 2 Level 2","Default Access Time Pattern","Lift 2","00:00","24:00","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",""
"Lift 2 Level 3","Default Access Time Pattern","Lift 2","00:00","24:00","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",""
"Lift 2 Level 4","Default Access Time Pattern","Lift 2","00:00","24:00","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",""
"Lift 2 Level 5","Default Access Time Pattern","Lift 2","00:00","24:00","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",""
