
"Title","Hardware Installation Report"

"Report generated by","sysdba, Fri Apr 03 13:26:10 CAT 2026"
"Record count","16"
"Maximum records to export","20000"

"Device Name","Address","Device Description","Door","Door Description"
"8 Input, 8 Output S-bus"
"IO8: 005C9457","005C9457","N/A","N/A","N/A"
"IO8: 005C943E","005C943E","N/A","N/A","N/A"
"Access Portal Controller"
"APC: 6E0413C6","6E0413C6","N/A","N/A","N/A"
"APC: 6E0413B6","6E0413B6","N/A","N/A","N/A"
"APC: 6E041366","6E041366","N/A","N/A","N/A"
"MDR-SE Mobile"
"LIFT 2 STid Reader (IN)","005D58B0","N/A","LIFT 2 STid Reader","N/A"
"Main Entrance In ST (IN)","005D575B","N/A","Main Entrance In ST","N/A"
"Boom In ST (IN)","005D542E","N/A","Boom In ST","N/A"
"Boom Out ST (IN)","005D5422","N/A","Boom Out ST","N/A"
"Restaurant In (IN)","005D53BC","N/A","Restaurant In","N/A"
"LIFT 1 STid Reader (IN)","005D51EA","N/A","LIFT 1 STid Reader","N/A"
"Twin Remote Terminal"
"LIFT 2 ZK Reader (IN)","005D58B2","N/A","LIFT 2 ZK Reader","N/A"
"Main Entrance In Qr (IN)","005D575D","N/A","Main Entrance In Qr","N/A"
"Boom In Qr (IN)","005D5430","N/A","Boom In Qr","N/A"
"Boom Out Qr (IN)","005D5424","N/A","Boom Out Qr","N/A"
"LIFT 1 ZK Reader (IN)","005D51EC","N/A","LIFT 1 ZK Reader","N/A"
